CODBEN,DESCRIPCION,PORCMAX,MONTOMAX,TIPO,USUARIO,FECMOD,APLICONCEPTO,APLICAL,PRIORIDAD,ORIGEN_BENEFICIO,Vigencia
277,CUOTA FACTURA BANCOESTADO CORREDORES DE SEGUROS S.A,,2350000.00,FINANCIAMIENTO,67,2018-09-29 00:00:00.000,A,SALDO,2,INTERNO,NO
278,CUOTA FACTURA BANCOESTADO SERVICIOS DE COBRANZA S.A,,2350000.00,FINANCIAMIENTO,67,2018-09-29 00:00:00.000,A,SALDO,2,INTERNO,NO
846,UN-PUNTAJE DACC ENTRE 71% y 85%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
847,UN-PUNTAJE DACC DESDE 86%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
848,UN-PAGO ANTICIPADO (5% NO RENOVABLE),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
849,UN-PAGO ANTICIP(10% NO RENOV–NOVIEMBRE–SÓLO NUEVO),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
850,UN-ADMISIÓN 2014,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
851,UN-Beca Notas de Enseñanza Media,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
852,UN-Beca PSU,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
853,UN-Beca Apoyo Regional,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
854,UN-Beca Deportistas Destacados,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
855,UN-Beca Líderes,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
856,UN-Beca Hermanos e Hijos de Estudiantes Regulares,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
857,UN-Beca Hijos de Egresados de UNIACC,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
858,UN-Beca Hijos y Cónyuge de Funcionarios,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
859,UN-Becas Egresados de IACC,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
860,UN-DACC (igual o superior a 85%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
861,UN-Convenio Institucional,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
862,237 Plan rescate APPH (de 1% a 20%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
864,IP -205 Plan rescate APPH (de 1% a 20%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
865,238 - IP ( promo Nov. 25%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
866,IP-219 Beca Adm. Finan (25%JUL),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
867,IP -218 Beca Reincorporación  (20%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
868,IP -215 Plan contado nuevos  (7%) ,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
869,IP -209 Beca Almnos nvos 2014 Mar (10%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
870,IP -210 Plan Contado Promo D-M (5%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
871,IP -211 Plan Cheque Promo D-M (5%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
872,IP - 917 SENADIS ( 40% ),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
873,IP -214 Beca Alumno nvos 2014   (15%) ,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
874,UN-5% Dcto. Abril 2014 (Descuento no renovable),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
876,IP - 217  AREMU (20%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
877,IP- 924 ANOP (20%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
878,IP - 220 Beca Reincorporacion (25%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
879,IP - 221 Cuponera   (5%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
880,IP - 222 Cheque  (10%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
881,IP - 223 Contado  (15%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
882,IP - 224 DIPL. SEP Y OCT (30%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
883,IP - 225 CUR. EXCEL SEPT Y OCT (30%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
884,IP - 226 Reinc.(30%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
885,Beca Talento Joven,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
886,DACC,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
887,DACC -  Puntaje desde 85% (20% Dcto.),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
888,DACC -  Puntaje Hasta  84% (10% Dcto.),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
889,Admisión 2014,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
891,Becas Notas de E.M.,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
892,Becas PSU,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
893,Beca Apoyo Regional,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
894,Becas Deportistas Destacados,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
895,Becas Líderes,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
896,Becas Hermanos (as) e Hijos (as) de Estudiantes,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
